denomination,number_mp,num_observations,osc_epoch,semi_major_axis,eccentricity,inclination,long_asc_node,arg_perihelion,mean_anomaly,x_au,y_au,z_au,vx_au_day,vy_au_day,vz_au_day,heliocentric_distance_au,velocity_magnitude_au_day
koussa,23070,807,2205.0,3.1364328763355993,0.11403578694070071,0.1041459621146612,1.309507719056075,1.3340807762037572,-1.8503252203216887,2.717582457580348,1.7468555281934885,0.5114167225789585,-0.005882663427064518,0.006262446027171519,0.0035734623215265488,3.2708264573746493,0.009305567806573047
churyumov,2627,786,2126.0,3.1067018679251546,0.1761434003902648,0.04363811295029563,1.9129516752584115,-0.7907802000114827,-2.552553635614505,-0.08545580737195414,-3.3109409577434845,-1.3743990498610172,0.008330941452691072,0.0006122181422657689,-0.0001163128387552613,3.5858897736734465,0.008354216014584796
woodard,7549,682,2129.0,2.999120599569703,0.0945610120627383,0.16914685885364644,3.939576447220663,-3.0942091104953993,-2.130644245217057,0.401800906945641,-3.023998535311364,-0.8528798869857078,0.009127551899354533,0.0015088511021489948,0.0016075599691946093,3.167556662794269,0.009390052416170197
mannucci,2219,671,2317.0,3.151120992506938,0.11908671001476562,0.13236366102526342,1.2666820357291426,-1.14093456275716,0.5835272602293843,1.855862383983476,2.0437785008419085,0.7231106569488495,-0.007453506636503099,0.006392566138693079,0.004129761694882389,2.853794801835168,0.010652445478596872
lilaea,213,670,2229.0,2.751601298842468,0.14617515463890934,0.11873352341916799,2.1312724732605215,2.8340037352249032,2.825238066816117,-0.0533257629733277,2.950544721045995,1.0685986774114091,-0.008953535613333506,-0.00010927060391887059,0.0009203087492708586,3.1385443952976813,0.009001372575229663
maxfrisch,14836,669,2166.0,3.1849917776390053,0.11002557932132087,0.26618689142866203,2.5128927141455755,1.3913967924265274,-1.6893457737906974,-1.395783689063695,2.8459846701043916,0.7760251648694996,-0.0078955636103817,-0.005101957028255099,0.0002674644431498375,3.2634423398669377,0.009404330251118085
francylemp,22860,656,2158.0,2.4025670897699074,0.19521646313494717,0.008490469571153847,4.642563460972026,1.4924887036633687,2.121931777005743,-1.72945443127959,1.9143719998762223,0.8126725391830903,-0.008373900776043254,-0.004606808063227539,-0.0020713406546198684,2.704860336454544,0.009779332638064683
cari,7680,641,2147.0,2.6982411139057905,0.21126537457348216,0.15187853130473106,3.6743672622405907,3.0343775237817643,-1.613155104462428,-0.07897195236644361,-2.7260379322842394,-0.7843290765942224,0.009756971335479914,0.001493039140435984,0.0012081492134768457,2.837726462840322,0.009944208366595868
kanuchova,24455,626,2124.0,3.0530759346202307,0.04987912132094485,0.20459308139050325,1.0792211292080856,0.9611948918651149,2.802398288154824,0.47925117321030164,-2.7206960001461575,-1.609950036934943,0.00915132844845941,0.0019304233366404216,-0.0008339869847588296,3.1974689261447993,0.009389828588476767
nicaragua,11908,622,2214.0,3.046634277283119,0.06608900989840065,0.04169061313214595,1.1935225117292658,2.544553546031157,2.9026337335550405,3.0018611364356023,1.161001130298362,0.3969560066288037,-0.0033511083848831347,0.007791904561357766,0.0036640013466164786,3.2429412542004528,0.009239513513629892
susanna,542,618,2214.0,2.910777069512061,0.13906058779103558,0.21084419631302875,2.6704846968220757,-2.5082843917935786,2.788083223647134,-3.264946854574756,0.25187577894615587,0.37577869070314096,-0.0012487521685452026,-0.008550212360945242,-0.0017956679980825532,3.2961384976368775,0.008825527573751326
esterantonucci,22744,617,2200.0,3.2157636118663877,0.09870590838220411,0.0821163788979713,2.8501484282277816,1.1413690852076017,2.750813633456871,3.0348473374714295,1.695999993139665,0.5060887797645841,-0.0041358121875646895,0.007253787442098569,0.0025911213006292997,3.5132378501164387,0.008742784699426744
eduarda,340,612,2205.0,2.7468862734768233,0.11462710998227363,0.08163293752430878,0.4721278547244818,0.7278665136012336,-0.33533283849795714,1.749958357899877,1.5537864184099113,0.7392494083027544,-0.008429890784320621,0.006847211097006043,0.0039336811273014164,2.4541997017550763,0.01155080974017942
johncleese,9618,611,2193.0,2.3687358036081534,0.14034046549386187,0.1390826870842492,0.5996870179817337,-0.8056414744569658,-1.2431067863219571,-0.36793668090491827,-1.9851400653474875,-1.1142069667324848,0.011438950015383056,0.00022644469862894765,-0.0009060805694313136,2.305995586491518,0.011477013403070946
aaronburrows,22656,611,2165.0,2.469022186162546,0.16716775250175467,0.054289448437379484,2.532312896608307,2.538095930162033,-3.0892250219974855,-1.1125235783685896,2.470697691124254,0.9798513078063199,-0.008499740198920748,-0.0034928304445318286,-0.0010502703288927803,2.881347667110397,0.009249244062470742
