source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,l,b,distance_pc,distance_ly,x_pc,y_pc,z_pc,x_au,y_au,z_au,bp_rp
3384529341302871296,100.98300597068413,25.131074836391473,3.747653899374491,0.18397632,20.370306,-4.853370650365749,-11.780095106031592,2.6483977,3.6414475,2.2281804,,,189.53606511995986,9.629022445650634,266.83360492998213,870.2938124954325,-46.024300507139124,237.15001427092375,113.32169789611785,-9493193.415390754,48915701.68648932,23374278.03213336,1.4132671
3211922645854328832,76.9620005509911,-5.086810304091459,36.24560427650994,0.35752305,101.37977,-88.48137357389295,-70.49687410279232,2.7777147,3.0676498,2.6321695,,,205.33789803649717,-25.316108432328974,27.589552442586267,89.98498066464165,6.199612687159586,26.77245181911661,-2.446227729486255,1278761.9081921107,5522214.5806144355,-504570.6880543029,0.43548036
3098404220680931968,124.1286317978316,9.185323935788704,10.102592897316667,0.3141416,32.15936,-45.67916058543277,-49.50480605477476,3.0001826,3.9670346,2.3685577,,,214.2532906519098,23.047302966859576,98.9844894438544,322.8438513904977,-54.82339562002881,80.88671960605338,15.800728923756349,-11308137.061826494,16684083.527518997,3259134.2861171924,1.5984769
3288921720025503360,72.46212402119102,6.9613310085374644,124.61980141424488,0.22457013,554.926,463.9544034849098,11.937009936843957,3.0879216,3.513966,2.7081478,,,191.4532108364966,-23.063051919374917,8.024406945377248,26.172084716764612,2.4002188848484787,7.595011223875432,0.972553668977469,495080.6826408078,1566583.5166604887,200603.59385622587,0.8058183
3352485999058854912,101.32182967483567,12.89474308933157,54.189438370902394,0.2369236,228.72115,-114.56401293447146,-191.67097112394018,3.2463484,3.5377839,2.8452327,,,200.7398850660983,4.501092872087301,18.45378047942569,60.18811226047565,-3.5314794585707765,17.638351391252968,4.1181582066756155,-728419.9254150863,3638171.1278766235,849431.1035772538,0.69255114
867815979158660352,116.11171060337323,24.39777124966751,22.090679593280267,0.17271562,127.90203,-28.40301618189953,-50.67451959821298,3.3391395,3.914924,2.7291882,,,195.84816090819493,21.9719804995727,45.26795999088179,147.6441675878604,-18.144286993966595,37.01794510127326,18.69879118274142,-3742527.836818843,7635499.264832781,3856902.53574267,1.1857357
872128538640246144,113.98046139731666,26.89527337662016,12.876056855002979,0.22875261,56.28813,-32.84069129467204,-106.00246713633416,3.3864715,4.363603,2.5457609,,,192.60580090390815,21.06111431103247,77.66352783782956,253.30425585475137,-28.1502374606953,63.28453950540938,35.13196189671272,-5806403.268684249,13053373.263882602,7246487.305024841,1.8178422
866177431955478144,110.03059448904996,21.982238707455554,53.769203794860104,0.24028201,223.77539,-27.72219816147847,-14.70169052772772,3.4571264,3.693509,3.1301932,0.15482982,0.5414069,195.98492486466918,15.884939698459377,18.59800646881797,60.65851397843794,-5.907108200997604,16.20272141022469,6.9615900639543895,-1218428.52709978,3342051.1883520423,1435931.0239930798,0.56331587
873035017257455104,111.43103524485525,27.797701341122824,24.020129776646378,0.18732563,128.22661,-122.05952761424837,-85.13295243832346,3.50655,4.076443,2.8370216,,,190.8464670230513,19.268092649056626,41.63174842511684,135.78444539342408,-13.456045731651528,34.281110673171405,19.4150138092584,-2775508.6623662305,7070986.642466229,4004634.0568540054,1.2394216
3296627028792695168,73.13318318973232,14.250398248921895,5.812463129775632,0.20349878,28.562643,1.4220855326657342,-54.86312884963143,3.52523,5.0386367,2.5430396,,,185.4280204711486,-18.389958059811185,172.04410207391734,561.1321615602059,48.38222761712973,159.5768727351466,42.35038131228067,9979550.793295106,32915092.696801703,8735393.185403598,2.4955971
2952868119987647744,103.54687424806049,-12.038691754586718,12.06755142240872,0.131349,91.87395,-136.65366375608644,-14.321891727028381,3.5294538,4.373004,2.7008822,,,223.9818898101309,-4.856655805423361,82.86685218867682,270.27521042450076,-18.983894878855804,78.78959281032573,-17.283720423324148,-3915709.394311586,16251520.075840833,-3565023.2400751933,1.6721218
3366754155291545344,106.02717676046669,20.570294274158407,3.0729129856354085,0.2177457,14.112393,-7.738172506163677,-0.9432405550932031,3.5395133,3.973537,2.9866095,-0.8314237,1.9254998,195.74646508236353,11.903072013197205,325.4241186374572,1061.3902883831847,-84.11890366592257,292.83318582354826,114.33981072854856,-17350769.34558421,60401180.264256135,23584278.87800079,0.9869275
2996171698248699904,86.73885705541909,-14.821953605720934,44.79397747617685,0.24658585,181.65672,-14.203038489174677,-0.775630781844922,3.5410435,3.6519601,3.4082112,,,219.39927710006262,-20.826537520026196,22.324429674320353,72.81246684857628,1.2277111678904922,21.546645435109728,-5.710950539584221,253233.60586896582,4444314.640623693,-1177968.1051229348,0.2437489
3019816764523863552,93.71386334648815,-6.2748597203681555,5.10558442089515,0.17742045,28.77675,-5.601054411480297,-18.661875956694807,3.5708857,4.2923098,2.7992406,,,214.4047413230749,-10.978995634155389,195.86396337065608,638.822068371197,-12.61083917700496,194.28168908391677,-21.407572707192216,-2601172.296342128,40073474.90824641,-4415628.831379898,1.4930692
3168265196643846400,109.52303150106083,16.540225963939488,32.60681934596957,0.20623088,158.10832,-46.156874360870574,-36.00696515721609,3.5799253,3.6848795,3.439696,-15.336391,0.43125388,200.91681182911975,13.22720531951031,30.668431329951446,100.02692888851644,-9.824852100879763,27.709123253533072,8.730947826914246,-2026521.212566657,5715416.932320088,1800887.2597145885,0.24518347
3207534529304666240,79.40154704838251,-6.844450161811125,6.014663648195368,0.33611774,17.894514,-17.72669751147493,-9.612321510896445,3.5883799,3.592209,3.6262372,,,208.2771530025291,-23.960031671688625,166.26033615363323,542.268061985244,30.361472127744495,162.25932195712468,-19.81395533883832,6262503.158303626,33468387.565177865,-4086921.6540581505,-0.034028053
939307084189685248,103.19723612430526,33.9610470125569,16.87007592104058,0.25981668,64.93069,-1.705015450988899,-47.193285454891964,3.593621,3.688492,3.4316213,33.3693,0.56354374,182.10540742529597,15.015319015159768,59.27655599657301,193.33404397618264,-11.224565174146248,47.86656385481262,33.11361188694681,-2315232.758079632,9873187.507399537,6830172.731820378,0.25687075
2995725777563537792,89.10103276512667,-14.16708077541103,66.85733766272052,0.17594825,379.98297,-41.4740727699853,139.22152520681215,3.635856,3.8544617,3.3150194,-1.8705802,0.12812948,219.75460448156917,-18.471306446517524,14.957221375531939,48.783874949579946,0.22753107988174215,14.500529392444196,-3.6607851921711143,46931.65405077805,2990948.8820298,-755091.1474708477,0.5394423
3041619014955371392,115.31146191996875,-9.551220883265277,22.38391398947461,0.13483427,166.01057,-74.98900125078534,-19.838261463870978,3.6608422,4.217195,2.9928858,,,227.18617553638637,6.521681062224766,44.674939354673235,145.70999520162803,-18.83549176615687,39.826168241908086,-7.412879294714058,-3885099.0550609445,8214736.866140533,-1529016.1096256122,1.2243092
3287731945364911232,72.80151646339951,5.60510830642511,3.8715039967063936,0.284066,13.62889,-1.6997668475238794,1.002702742630287,3.6682577,3.627015,3.7638545,,,192.89029552362248,-23.52227043430003,258.29755073241057,842.4529595668009,76.00896636915827,245.5683050741321,25.22834296723412,15677974.702394957,50652098.80586468,5203719.267838011,-0.13683939
2939555954755196160,99.17128532129774,-19.256190699068565,48.849033225640284,0.13230371,369.2189,62.660136796820936,-69.81644623373384,3.673236,4.2477813,2.9954019,,,228.6887625446293,-11.795966850288227,20.471234208072552,66.7681586436811,-3.080292643924211,19.078880489522422,-6.751262585329279,-635355.9646222545,3935301.5828685276,-1392547.8674180023,1.2523794
3232262786334597888,73.56290684709873,2.4406776157180046,3.294487559717264,0.26320437,12.516842,0.5607949932899607,1.3403827524370322,3.692016,3.627683,3.8042023,,,196.26693876879025,-24.56246217232526,303.5373428715636,990.005256016177,85.81175683773525,290.86797011041625,12.926131277245329,17699945.376654636,59995825.42643881,2666205.9602315403,-0.1765194
3296329370379163520,74.09247641162624,13.51426918734195,18.090350443745088,0.12631278,143.21869,-74.40773924713935,-44.90936769102837,3.7191608,4.344914,2.9813063,,,186.62621580300555,-18.052544970246238,55.27808889660065,180.29280362159682,14.731420341570619,51.689291183225876,12.917799493572089,3038573.5588585176,10661681.618185597,2664487.4064885452,1.3636076
