source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,l,b,distance_pc,bp_rp
3207534529304666240,79.40154704838251,-6.844450161811125,6.014663648195368,0.33611774,-17.72669751147493,-9.612321510896445,3.5883799,3.592209,3.6262372,,208.2771530025291,-23.960031671688625,166.26033615363323,-0.034028053
939307084189685248,103.19723612430526,33.9610470125569,16.87007592104058,0.25981668,-1.705015450988899,-47.193285454891964,3.593621,3.688492,3.4316213,33.3693,182.10540742529597,15.015319015159768,59.27655599657301,0.25687075
3087964941891149952,120.56627842916214,2.335041455668743,12.523434116871659,0.11418241,-28.19364407946657,105.64962706325069,3.972009,4.6455307,3.1947732,71.893074,219.0669186116755,16.8004751029661,79.85030229470308,1.4507575
3372552842178783616,97.24075374613999,20.212076430854843,4.447477074560435,0.44097963,-4.669146333913291,-14.40180549838631,4.058969,4.060721,4.1768317,,192.42075488311283,4.345428608161361,224.84657778676345,-0.1161108
3399063235755057792,88.59482419468164,20.275852148021837,114.94966074779107,0.5279793,-179.01353012437752,-90.72993621907472,4.241686,4.5441318,3.7479024,-15.424911,188.45787351770417,-2.7334048805730804,8.699460211492765,0.79622936
671619021218304640,116.530669625217,18.509768411353402,10.508646623110893,0.37691447,-77.97203630156811,-51.68015140175476,4.289497,5.1258736,3.4084952,78.36147,201.8575131548163,20.13457944900978,95.15973234848087,1.7173784
3397249453883264896,82.00678237863265,17.238926964515514,5.13937259593637,0.09905715,15.865027897566957,-45.65623125130043,5.0602307,6.0236883,4.0895824,-24.254827,187.79553333101038,-9.639023543622706,194.57627975653799,1.9341059
3142543393422930304,112.00863127048596,6.941776685024152,10.217159086630694,0.10688134,-3.10898488696785,-43.63258851855762,5.180653,5.2962637,4.9685197,19.094282,210.85201257400126,11.278943768199639,97.87456488844487,0.327744
3378384205173636352,102.88766589542932,21.7609862639353,7.615760971366814,0.08358251,-5.718697254009594,-35.78112835537208,5.2503476,5.256651,5.21969,40.409393,193.38487985908392,9.756191473023268,131.30664207552306,0.03696108
3355729867596484608,98.40062227408488,14.154780002108398,11.36448425144599,0.078545585,-13.714070978643543,-86.55692566033474,5.2585754,5.80598,4.5676374,-11.207635,198.32051684282916,2.5457698181607156,87.99343444668528,1.2383428
3354061186904199936,102.60623433673533,13.41315017987486,2.7019870867833933,0.052997533,-2.200335006630815,-6.42102678712904,5.302592,5.9566536,4.5305777,28.736938,200.8386559018453,5.851395186759751,370.09799376593605,1.4260759
3351083846851995648,100.32176226125397,11.00324037644291,2.541596581516793,0.054760043,3.364611993693199,8.883805422711344,5.3377247,6.441394,4.290516,16.292068,201.9845222263825,2.7713026760368544,393.45347222776496,2.150878
3212839191873883136,75.68932805413203,-4.210109670612782,10.655125342578826,0.039864283,41.04974050137382,2.580463486750941,5.5208993,6.1104927,4.7850184,38.010326,203.81911932642004,-26.025958228447628,93.85154729282361,1.3254743
3136349019790899072,113.29853644107415,3.290568943888781,23.148827216482314,0.062193513,-15.908830582687575,42.69596738061516,5.521031,5.672603,5.2485557,3.3955314,214.76358103099105,10.787325710702525,43.198732732688285,0.42404747
3218929489859320320,88.68347037952005,0.9686167367939064,2.5011641807627276,0.046013623,-3.4793588424127853,0.2451946129549857,5.595687,6.256087,4.8166795,21.670296,205.48566744047014,-12.135241304148405,399.8138177778681,1.4394073
3065908876073789056,125.07098207101163,-5.330160319054151,5.53042820497345,0.03556677,17.315587790433504,-46.35719593497615,5.6896453,6.3700542,4.887098,-36.337303,228.35503674162163,17.015232937969646,180.81782511898655,1.4829564
939067940410703744,104.25206055419633,33.68104687697074,7.436291717893714,0.051482987,-21.295831358386184,1.5990172569365724,5.6942015,6.1257033,5.079001,-9.108997,182.72338540888413,15.716220239382938,134.47562816742808,1.0467024
