source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,l,b,distance_pc,bp_rp
3041619014955371392,115.31146191996875,-9.551220883265277,22.38391398947461,0.13483427,-74.98900125078534,-19.838261463870978,3.6608422,4.217195,2.9928858,,227.18617553638637,6.521681062224766,44.674939354673235,1.2243092
3334901543952614528,84.2270617541914,9.289315600777243,28.672196661235088,0.18594953,98.30098899709097,-305.0218131954691,3.7976506,4.329805,3.1169736,99.029495,195.8463141835969,-11.947387965629488,34.8769929215784,1.2128313
3456177332896378496,87.76035890286224,37.30536699975672,5.735845053078788,0.20554428,36.42610257420188,-45.60646119046204,3.9505138,4.989957,2.9734526,,173.39580777836667,5.275869765095841,174.34222695106405,2.0165043
886479673643853952,107.78471823693071,30.244948146711195,8.326143649272213,0.15906294,-30.724555286397873,-48.51522842745486,4.020316,4.658226,3.2660778,21.740417,187.2187888465224,17.198776000242617,120.10362085062151,1.3921483
3393017330548004224,76.14236864858779,15.403964175539897,7.806759669030735,0.14018637,17.431553477919525,-31.043026152287194,4.6403,4.6201854,4.651616,22.07505,186.18268511269628,-15.345121805348201,128.0941187375065,-0.03143072
3222282691086558464,81.18678542582163,1.846446899728481,2.9321394722522793,0.12191846,1.0469869361146436,0.43270748150018973,4.6411395,4.602082,4.647058,,200.95804629617228,-18.28918120374459,341.04789675365095,-0.044976234
894363992351617920,114.79118942273922,34.583839079832245,19.333780371008984,0.12626235,-37.97501465881225,-105.13151873366428,4.7710595,4.9978375,4.4148664,13.704819,184.97316802830414,24.224260058399818,51.72294196015078,0.5829711
873246776325007232,112.33499918996836,28.118041714732566,18.5038034095918,0.09730165,-33.93080359463006,-52.78159897007028,5.039443,5.102618,4.923073,32.13718,190.8326645289739,20.128318704550534,54.04294338112298,0.1795454
3087915773104836608,119.58537274339776,2.225204602073261,12.71173343169387,0.07782157,-161.28228700472,98.299033160947,5.047312,5.5187106,4.4225287,42.93284,218.69450777659804,15.88123145055733,78.66747720705999,1.0961819
3006574624434998784,94.92830924227715,-7.822912210337268,2.664480771576969,0.12982413,-5.40522977297901,-1.4157260646441199,5.2126594,5.1262026,5.3910522,,216.3616041862295,-10.586832836317615,375.3076436757888,-0.26484966
3101342493713377152,106.02184264041104,-5.323984650671346,1.99537029318115,0.06578381,-4.7635864891538855,-2.1385554611789988,5.264415,5.891824,4.510725,34.04905,219.1105249340316,0.37674483172976914,501.160112194381,1.3810987
3059609224212458624,108.54505241758181,-3.9018134605480905,3.7035958626550185,0.08471995,-35.07937267442829,-7.951972376955658,5.2909684,6.226889,4.344329,22.97937,219.00528212807131,3.2640584087051767,270.007861841363,1.8825603
891499665778659072,106.54800637233228,34.47375109219404,9.94929591961634,0.0645549,-54.28174147488487,-48.769676258483955,5.300716,5.7713532,4.6717424,3.4036322,182.69209830817437,17.77622405323536,100.50962480956758,1.0996108
3228620241748261248,75.45982149178988,0.7220055183830942,6.3069916803603405,0.03755106,4.193308171274269,-23.357288005739584,5.536574,6.171937,4.772403,21.338352,198.95021169704836,-23.815276227591678,158.5541967835395,1.3995342
3000732575559777664,95.27264629984737,-11.817316275274404,2.6002240898725693,0.08191789,5.531090456985525,3.4281829394167844,5.553187,6.6015196,4.5463142,45.558064,220.17643784132417,-12.028325433578921,384.5822380827983,2.0552053
3092508639329332992,128.43109573478708,4.756972942279509,3.1503356919939804,0.041795496,-14.248264794089156,-6.0108467907313425,5.60517,6.1143284,4.9337225,1.8455279,220.68166079181842,24.87530046252057,317.42648967261573,1.1806059
3221267223379801600,80.38268006195544,-0.4164850838513286,3.312806376339046,0.2726568,-0.7340393012023658,1.751240544507497,5.61171,5.5670066,5.7458515,,202.6360101521311,-20.093690147584052,301.85887323275784,-0.17884493
2954283191455209728,101.66251230763625,-10.107356992615552,5.899918039562853,0.058962658,-12.134718123162614,0.6188865340595351,5.6472335,5.6214514,5.653973,19.301435,221.4153975003821,-5.6427195221390845,169.49387996482977,-0.032521725
3157387556313867392,103.2059936447082,8.380253327937519,16.293618942894792,0.053073067,-30.011455454329916,-32.34665020824725,5.7004604,5.8254333,5.458803,28.526314,205.61781006787362,4.116287877027467,61.373719583400046,0.36663008
3216667553922099456,85.78885138769289,-1.613387377959241,4.680871154255992,0.053259414,5.093223078832809,-30.461750074084172,5.7333937,6.5597415,4.829205,37.22069,206.43958626954588,-15.901895285296652,213.635446703285,1.7305365
870408558858235008,108.10981350998176,24.128390872573934,9.205477841936265,0.07689029,-17.951800428664455,-45.67876723994524,5.758055,5.9490943,5.4243484,,193.2133185942402,15.112995629562754,108.63097138145538,0.52474594
3164280807022847744,115.19658888534282,13.771221577769092,3.5733019164295676,0.02350419,-2.7048519310665515,-7.006063530577102,5.764905,6.480495,4.944598,3.6137743,205.8884721915419,17.051810132716213,279.853206750354,1.5358968
889798274614704000,106.44680866036711,31.39327786825199,1.7481490039509613,0.06632249,-11.195926045862068,-0.32821034007510275,5.769932,6.916478,4.692893,14.122033,185.656868826637,16.562484598406783,572.0336182670455,2.2235851
3419808305748795520,74.5392566864645,25.050196196179627,10.137768358276935,0.049390048,25.098641925622587,-47.41324017322753,5.782125,5.777192,5.7629714,,177.2444018513867,-10.919297651409547,98.64103860526212,0.014220715
3020623531179542272,93.65289912383494,-4.568447020993408,2.8587662397603237,0.06933294,-6.461060314804039,1.996933886558097,5.808224,5.7185435,5.942652,,212.82503556917882,-10.268423778324328,349.8012485567337,-0.2241087
